epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2075,1.44409,4.61617,1.55571,0.60577,0.78401,0.62724,0.51797,0.63219,1.26065,0.97136,0.000544327,0.000544327,0.000544327
2,39.66,0.73913,0.62642,1.01545,0.06301,0.06111,0.03249,0.02178,2.05298,17.7719,2.21335,0.00109925,0.00109925,0.00109925
3,51.6147,0.744,0.53419,1.0204,0.99539,1,0.995,0.74424,0.99967,0.63527,1.2604,0.00165117,0.00165117,0.00165117
4,63.9969,0.69851,0.49037,1.00026,0,0,0,0,4.14699,5.69967,3.67979,0.00165684,0.00165684,0.00165684
5,75.9387,0.67281,0.44795,0.9866,0.74875,0.62372,0.93286,0.75315,0.69086,2.07569,0.96759,0.00164897,0.00164897,0.00164897
6,87.9851,0.63955,0.44111,0.9735,0.99771,1,0.995,0.82671,0.68193,0.43972,0.97256,0.00163888,0.00163888,0.00163888
7,100.225,0.63805,0.40998,0.96346,0.99705,1,0.995,0.85722,0.56508,0.54587,0.92752,0.00162661,0.00162661,0.00162661
8,112.388,0.58469,0.36979,0.94552,0.97447,0.96141,0.99243,0.8661,0.59147,0.4877,0.9387,0.00161219,0.00161219,0.00161219
9,124.618,0.5768,0.36957,0.92548,0.96422,1,0.995,0.88726,0.50228,0.47863,0.88701,0.00159566,0.00159566,0.00159566
10,136.831,0.55776,0.35609,0.9298,0.99711,1,0.995,0.84411,0.63349,0.41497,0.95016,0.00157706,0.00157706,0.00157706
11,148.698,0.56203,0.3497,0.94007,0.99774,1,0.995,0.91079,0.4205,0.29826,0.85519,0.00155645,0.00155645,0.00155645
12,160.908,0.54664,0.33724,0.91306,0.98932,1,0.995,0.88294,0.50686,0.33071,0.88916,0.00153388,0.00153388,0.00153388
13,172.885,0.51682,0.32266,0.91387,0.99673,1,0.995,0.89781,0.46326,0.27058,0.87886,0.00150941,0.00150941,0.00150941
14,184.905,0.50555,0.32174,0.9052,0.99895,1,0.995,0.82614,0.74705,0.297,1.00269,0.00148311,0.00148311,0.00148311
15,196.749,0.50337,0.31173,0.89932,0.99586,1,0.995,0.92068,0.38104,0.27626,0.84916,0.00145505,0.00145505,0.00145505
16,209.082,0.48663,0.29256,0.89447,0.99911,1,0.995,0.92052,0.41793,0.23697,0.85899,0.00142531,0.00142531,0.00142531
17,221.013,0.46254,0.28881,0.89048,0.96779,0.96979,0.995,0.87664,0.57568,0.46118,0.90886,0.00139398,0.00139398,0.00139398
18,233.017,0.47913,0.28793,0.88477,0.99921,1,0.995,0.89628,0.45061,0.22984,0.87619,0.00136113,0.00136113,0.00136113
19,245.196,0.46213,0.28098,0.88688,0.99928,1,0.995,0.88229,0.55195,0.26769,0.90042,0.00132685,0.00132685,0.00132685
20,257.081,0.45398,0.26836,0.88224,0.9993,1,0.995,0.84815,0.70702,0.27854,0.9864,0.00129125,0.00129125,0.00129125
21,269.064,0.43924,0.27181,0.87821,0.99926,1,0.995,0.86682,0.6004,0.25256,0.93824,0.00125442,0.00125442,0.00125442
22,281.071,0.44097,0.26581,0.87241,0.99853,1,0.995,0.9187,0.40907,0.24856,0.84789,0.00121645,0.00121645,0.00121645
23,293.024,0.42637,0.25841,0.8748,0.99929,1,0.995,0.93383,0.37803,0.21835,0.84587,0.00117746,0.00117746,0.00117746
24,305.262,0.41744,0.25668,0.86975,0.9991,1,0.995,0.88195,0.55265,0.2531,0.90882,0.00113755,0.00113755,0.00113755
25,317.24,0.41203,0.25395,0.86458,0.9996,1,0.995,0.92758,0.39914,0.217,0.84984,0.00109683,0.00109683,0.00109683
